id,Predictions
532,15
533,15
534,15
535,15
536,15
537,9
538,15
539,15
540,15
541,15
542,15
543,15
544,15
545,15
546,16
547,16
548,16
549,16
550,18
551,16
552,17
553,16
554,16
555,16
556,16
557,16
558,16
559,16
560,16
561,16
562,16
563,16
564,16
565,16
566,16
567,16
568,16
569,16
570,16
571,16
572,16
573,16
574,17
575,17
576,17
577,17
578,17
579,17
580,17
581,17
582,17
583,17
584,17
585,17
586,17
587,17
588,17
589,17
590,11
591,17
592,17
593,5
594,15
595,17
596,17
597,17
598,17
599,17
600,17
601,17
602,17
603,17
604,17
605,18
606,18
607,18
608,16
609,18
610,18
611,18
612,15
613,18
614,18
615,18
616,18
617,18
618,18
619,18
620,18
621,18
622,18
623,18
624,18
625,18
626,18
627,18
628,18
629,18
630,18
631,18
632,18
633,22
634,22
635,13
636,22
637,19
638,19
639,19
640,19
641,19
642,19
643,19
644,19
645,19
646,19
647,19
648,19
649,19
650,19
651,19
652,22
653,19
654,19
655,3
656,3
657,19
658,19
659,29
660,29
661,9
662,9
663,9
664,20
665,20
666,20
667,20
668,20
669,20
670,5
671,5
672,3
673,3
674,20
675,20
676,20
677,20
678,20
679,20
680,20
681,20
682,20
683,20
684,20
685,20
686,20
687,9
688,9
689,20
690,20
691,21
692,21
693,21
694,21
695,21
696,23
697,21
698,23
699,23
700,21
701,21
702,21
703,21
704,21
705,21
706,21
707,21
708,21
709,21
710,23
711,21
712,21
713,21
714,21
715,21
716,21
717,21
718,21
719,3
720,9
721,9
722,24
723,22
724,22
725,22
726,22
727,22
728,22
729,22
730,15
731,22
732,22
733,14
734,22
735,22
736,22
737,15
738,14
739,22
740,19
741,14
742,14
743,22
744,22
745,22
746,22
747,25
748,29
749,29
750,29
751,29
752,22
753,23
754,23
755,23
756,23
757,23
758,23
759,23
760,23
761,23
762,23
763,23
764,23
765,23
766,23
767,23
768,23
769,23
770,23
771,23
772,23
773,23
774,23
775,23
776,23
777,23
778,23
779,23
780,23
781,24
782,24
783,24
784,24
785,24
786,24
787,24
788,24
789,24
790,24
791,24
792,24
793,24
794,24
795,24
796,24
797,24
798,24
799,24
800,24
801,24
802,24
803,24
804,24
805,24
806,24
807,4
808,24
809,24
810,24
811,24
812,25
813,9
814,25
815,9
816,9
817,25
818,25
819,25
820,13
821,25
822,1
823,25
824,1
825,1
826,1
827,14
828,25
829,14
830,25
831,25
832,25
833,25
834,25
835,25
836,25
837,25
838,25
839,25
840,25
841,25
842,25
843,25
844,26
845,26
846,26
847,26
848,26
849,10
850,26
851,26
852,9
853,26
854,26
855,26
856,26
857,26
858,26
859,26
860,26
861,26
862,26
863,26
864,26
865,26
866,26
867,26
868,26
869,26
870,26
871,26
872,26
873,26
874,26
875,26
876,26
877,26
878,9
879,27
880,27
881,27
882,3
883,27
884,27
885,27
886,27
887,27
888,27
889,9
890,27
891,27
892,27
893,27
894,27
895,27
896,27
897,27
898,10
899,27
900,29
901,15
902,27
903,27
904,27
905,27
906,28
907,28
908,28
909,28
910,28
911,28
912,28
913,28
914,28
915,28
916,28
917,28
918,28
919,28
920,28
921,28
922,14
923,28
924,28
925,28
926,28
927,28
928,14
929,28
930,28
931,28
932,14
933,28
934,14
935,29
936,29
937,29
938,29
939,14
940,29
941,29
942,29
943,29
944,29
945,29
946,14
947,14
948,14
949,14
950,14
951,14
952,14
953,29
954,29
955,29
956,29
957,29
958,29
959,29
960,29
961,29
962,29
963,29
964,29
965,29
966,29
967,29
968,29
